ORF	 "Empirical phi from data in Beyer et al 2003"
YDR137W	0.011059339
YDR138W	0.007329139
YDR139C	0.338397675
YDR140W	0.066868658
YDR141C	0.011816956
YDR142C	0.003311013
YDR143C	0.021041857
YDR144C	0.08669295
YDR145W	0.046536436
YDR146C	0.030181896
YDR147W	0.013430382
YDR148C	0.066569316
YDR150W	0.011246705
YDR151C	0.025798147
YDR152W	0.114421751
YDR153C	0.067876413
YDR155C	2.902696505
YDR156W	0.231034508
YDR158W	0.448592906
YDR159W	0.005132149
YDR160W	0.003456268
YDR161W	0.042394364
YDR162C	0.047341375
YDR163W	0.055578125
YDR164C	0.019900473
YDR165W	0.100258999
YDR166C	0.005526644
YDR167W	0.163876477
YDR168W	0.11101868
YDR169C	0.011180769
YDR170C	0.090096563
YDR171W	0.110646344
YDR172W	0.356392402
YDR173C	0.007751636
YDR174W	0.281983355
YDR175C	0.039999796
YDR176W	0.017502501
YDR177W	0.389082883
YDR178W	0.176155501
YDR179C	0.010037447
YDR179WA	0.006505876
YDR180W	0.013478562
YDR181C	0.015782113
YDR182W	0.10195721
YDR183W	0.019025759
YDR184C	0.036617513
YDR185C	0.002784131
YDR186C	0.008117915
YDR188W	0.427203722
YDR189W	0.065991245
YDR190C	0.321644751
YDR191W	0.007509777
YDR192C	0.029212574
YDR194C	0.063642199
YDR195W	0.010827419
YDR196C	0.066526678
YDR197W	0.006784265
YDR198C	0.015260799
YDR200C	0.004693518
YDR201W	0.040628812
YDR202C	0.015410734
YDR204W	0.028996288
YDR205W	0.014500259
YDR206W	0.013248404
YDR207C	0.010886938
YDR208W	0.014202865
YDR210W	0.909008797
YDR211W	0.090577809
YDR212W	0.183708605
YDR213W	0.003258142
YDR214W	0.185979487
YDR216W	0.00200623
YDR217C	0.002094672
YDR218C	0.00299087
YDR219C	0.006108801
YDR221W	0.01096194
YDR222W	0.009460061
YDR223W	0.000699816
YDR224C	1.092738285
YDR225W	1.956602895
YDR226W	1.79086046
YDR227W	0.011268431
YDR228C	0.020411087
YDR229W	0.038141795
YDR231C	0.028498632
YDR232W	0.105101316
YDR233C	1.284397339
YDR234W	0.190128427
YDR235W	0.007908529
YDR236C	0.026174383
YDR237W	0.06771833
YDR238C	0.174552486
YDR239C	0.028436499
YDR240C	0.004562908
YDR242W	0.003391002
YDR243C	0.014113195
YDR244W	0.007711329
YDR245W	0.182315494
YDR246W	0.068062726
YDR247W	0.00420645
YDR248C	0.044676186
YDR249C	0.007740395
YDR251W	0.057097658
YDR252W	0.004755264
YDR253C	0.00544738
YDR254W	0.002292599
YDR255C	0.006077546
YDR256C	0.00107162
YDR257C	0.013155386
YDR258C	0.056042331
YDR259C	0.014907589
YDR260C	0.020581886
YDR261C	0.064782677
YDR262W	0.030772537
YDR263C	0.004606146
YDR264C	0.084459298
YDR265W	0.021192964
YDR266C	0.032810484
YDR267C	0.071294723
YDR268W	0.019245997
YDR270W	0.013160636
YDR272W	0.140692535
YDR273W	0.005188979
YDR275W	0.010610114
YDR276C	1.290386015
YDR277C	0.002949709
YDR279W	0.007909786
YDR280W	0.072864953
YDR281C	0.020157782
YDR282C	0.016740081
YDR283C	0.006550979
YDR284C	0.095401691
YDR285W	0.00646305
YDR286C	0.030480726
YDR287W	0.03020233
YDR288W	0.010568409
YDR289C	0.013324079
YDR291W	0.012653729
YDR292C	0.082673853
YDR293C	0.035278274
YDR294C	0.12626905
YDR295C	0.003034337
YDR296W	0.099425383
YDR297W	0.315337768
YDR298C	0.154141383
YDR299W	0.043275201
YDR300C	0.091952405
YDR301W	0.010447106
YDR302W	0.093617327
YDR303C	0.010420744
YDR304C	0.479588099
YDR305C	0.027133813
YDR306C	0.016956718
