ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YBL047C	0.1308	1	nan	2234424390575145185622883701942432960199561443525473075200.000	2234424390575145185622883701942432960199561443525473075200.000	0.000	0	0	
YJR088C	0.2236	1	nan	31235888772142.465	31235888772142.465	0.000	0	0	
YOR296W	0.009456	1	nan	3164889521730884782372237102991051398561833787951415296.000	3164889521730884782372237102991051398561833787951415296.000	0.000	0	0	
YHL040C	0.2174	1	nan	222076216176357726847238144.000	222076216176357726847238144.000	0.000	0	0	
YER155C	0.0886	1	nan	577111709600713147118303732903425621889378080990314625777388525234599701707837560374427648.000	577111709600713147118303732903425621889378080990314625777388525234599701707837560374427648.000	0.000	0	0	
YDR019C	0.3391	1	nan	570304435392372160.000	570304435392372160.000	0.000	0	0	
YLR300W	8.759	1	nan	23436122649688813568.000	23436122649688813568.000	0.000	0	0	
YOR297C	0.08054	1	nan	3202332809.420	3202332809.420	0.000	0	0	
YHL042W	0.01932	1	nan	52298290.505	52298290.505	0.000	0	0	
YBL049W	0.01603	1	nan	17949851.564	17949851.564	0.000	0	0	
YDR020C	0.02691	1	nan	119114802644.492	119114802644.492	0.000	0	0	
YJR089W	0.02717	1	nan	67629853155943857587988978735906975383552.000	67629853155943857587988978735906975383552.000	0.000	0	0	
YER156C	0.7577	1	nan	1550534416491810.500	1550534416491810.500	0.000	0	0	
YNL118C	0.1362	1	nan	283369019715858855134709334300505411682304.000	283369019715858855134709334300505411682304.000	0.000	0	0	
YLR301W	0.5641	1	nan	196857194094.264	196857194094.264	0.000	0	0	
YHL043W	0.007504	1	nan	297333290.149	297333290.149	0.000	0	0	
YOR298W	0.00804	1	nan	2353905960695897260032.000	2353905960695897260032.000	0.000	0	0	
YDR021W	0.1096	1	nan	472257833622060800.000	472257833622060800.000	0.000	0	0	
YBL050W	0.5489	1	nan	28288134678182.555	28288134678182.555	0.000	0	0	
YHL044W	0.02909	1	nan	136984055242.437	136984055242.437	0.000	0	0	
YNL119W	0.09473	1	nan	4511459406251008458752.000	4511459406251008458752.000	0.000	0	0	
YDR022C	0.02287	1	nan	4906050636.247	4906050636.247	0.000	0	0	
YLR303W	0.5895	1	nan	7037362616099414016.000	7037362616099414016.000	0.000	0	0	
YER157W	0.04699	1	nan	12376383873594209837454261143732224.000	12376383873594209837454261143732224.000	0.000	0	0	
